date,plant_stand,precip,temp,area_damaged,severity,seed_tmt,plant_growth,leaves,leafspots_halo,leafspots_marg,leafspot_size,leaf_shread,leaf_malf,leaf_mild,stem,lodging,stem_cankers,canker_lesion,fruiting_bodies,external_decay,mycelium,int_discolor,sclerotia,fruit_pods,fruit_spots,seed,mold_growth,seed_discolor,seed_size,shriveling,class
august,lt-normal,norm,norm,scattered,minor,none,norm,abnorm,yellow-halos,w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-blight
august,lt-normal,norm,norm,scattered,minor,none,norm,abnorm,yellow-halos,w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-blight
august,normal,gt-norm,norm,low-areas,pot-severe,fungicide,norm,abnorm,no-yellow-halos,w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-blight
june,lt-normal,norm,gt-norm,scattered,minor,none,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
june,lt-normal,norm,gt-norm,scattered,minor,none,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
june,lt-normal,gt-norm,norm,upper-areas,minor,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
july,lt-normal,gt-norm,lt-norm,whole-field,minor,none,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,absent,absent,norm,absent,bacterial-pustule
july,lt-normal,gt-norm,lt-norm,whole-field,minor,none,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,absent,absent,norm,absent,bacterial-pustule
july,lt-normal,norm,norm,scattered,minor,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,absent,absent,lt-norm,absent,bacterial-pustule
june,lt-normal,norm,lt-norm,scattered,minor,none,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
june,lt-normal,norm,norm,scattered,minor,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
june,lt-normal,norm,norm,scattered,minor,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
june,lt-normal,gt-norm,norm,scattered,minor,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,lt-norm,absent,bacterial-pustule
june,lt-normal,norm,norm,scattered,minor,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
june,lt-normal,norm,norm,scattered,minor,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
june,lt-normal,norm,norm,scattered,minor,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
june,lt-normal,gt-norm,gt-norm,upper-areas,minor,none,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
july,lt-normal,norm,norm,scattered,minor,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,absent,absent,lt-norm,absent,bacterial-pustule
june,lt-normal,norm,gt-norm,scattered,minor,none,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
june,lt-normal,norm,norm,scattered,minor,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
june,lt-normal,gt-norm,norm,scattered,pot-severe,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,lt-norm,absent,bacterial-pustule
june,lt-normal,norm,lt-norm,scattered,minor,none,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
june,lt-normal,norm,lt-norm,scattered,minor,none,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
july,lt-normal,norm,norm,scattered,minor,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,absent,absent,lt-norm,absent,bacterial-pustule
june,lt-normal,gt-norm,norm,scattered,pot-severe,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,lt-norm,absent,bacterial-pustule
june,lt-normal,norm,gt-norm,scattered,minor,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
august,lt-normal,norm,norm,scattered,minor,none,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,absent,absent,lt-norm,absent,bacterial-pustule
july,normal,norm,lt-norm,whole-field,minor,none,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,absent,absent,norm,absent,bacterial-pustule
june,lt-normal,norm,norm,scattered,minor,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
june,lt-normal,gt-norm,norm,scattered,pot-severe,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,lt-norm,absent,bacterial-pustule
june,lt-normal,norm,lt-norm,scattered,minor,none,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
june,lt-normal,norm,norm,scattered,minor,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
june,lt-normal,gt-norm,gt-norm,upper-areas,minor,none,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
august,lt-normal,norm,norm,scattered,minor,none,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,absent,absent,lt-norm,absent,bacterial-pustule
june,lt-normal,gt-norm,norm,scattered,minor,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,lt-norm,absent,bacterial-pustule
june,lt-normal,gt-norm,norm,upper-areas,minor,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
june,lt-normal,norm,norm,scattered,minor,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
june,lt-normal,norm,norm,scattered,minor,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
june,lt-normal,gt-norm,norm,scattered,pot-severe,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,lt-norm,absent,bacterial-pustule
june,lt-normal,gt-norm,norm,scattered,pot-severe,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,lt-norm,absent,bacterial-pustule
june,lt-normal,gt-norm,norm,upper-areas,minor,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
july,lt-normal,gt-norm,lt-norm,whole-field,minor,none,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,absent,absent,norm,absent,bacterial-pustule
june,lt-normal,gt-norm,gt-norm,upper-areas,minor,none,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
june,lt-normal,gt-norm,gt-norm,upper-areas,minor,none,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
august,lt-normal,norm,norm,scattered,minor,none,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,absent,absent,lt-norm,absent,bacterial-pustule
july,lt-normal,gt-norm,lt-norm,whole-field,minor,none,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,absent,absent,norm,absent,bacterial-pustule
july,lt-normal,gt-norm,lt-norm,whole-field,minor,none,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,absent,absent,norm,absent,bacterial-pustule
june,lt-normal,gt-norm,norm,scattered,pot-severe,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,lt-norm,absent,bacterial-pustule
july,lt-normal,norm,norm,scattered,minor,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,absent,absent,lt-norm,absent,bacterial-pustule
june,lt-normal,norm,norm,scattered,minor,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
june,lt-normal,norm,gt-norm,scattered,minor,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
june,lt-normal,norm,gt-norm,scattered,minor,fungicide,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,bacterial-pustule
may,lt-normal,gt-norm,norm,whole-field,pot-severe,none,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,brown-spot
september,normal,lt-norm,norm,upper-areas,pot-severe,fungicide,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,brown-stem-rot
august,normal,lt-norm,norm,whole-field,pot-severe,fungicide,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,brown-stem-rot
september,normal,lt-norm,gt-norm,whole-field,pot-severe,fungicide,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,brown-stem-rot
august,lt-normal,norm,lt-norm,whole-field,pot-severe,fungicide,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,brown-stem-rot
august,normal,lt-norm,norm,whole-field,pot-severe,fungicide,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,brown-stem-rot
july,lt-normal,lt-norm,lt-norm,upper-areas,pot-severe,fungicide,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,brown-stem-rot
august,lt-normal,norm,lt-norm,upper-areas,pot-severe,fungicide,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,brown-stem-rot
september,normal,lt-norm,norm,upper-areas,pot-severe,fungicide,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,brown-stem-rot
september,normal,lt-norm,norm,upper-areas,pot-severe,fungicide,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,brown-stem-rot
september,normal,lt-norm,norm,upper-areas,pot-severe,fungicide,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,brown-stem-rot
august,normal,lt-norm,norm,upper-areas,pot-severe,none,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,brown-stem-rot
september,normal,lt-norm,norm,upper-areas,pot-severe,fungicide,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,brown-stem-rot
august,normal,lt-norm,norm,whole-field,pot-severe,fungicide,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,brown-stem-rot
august,normal,lt-norm,norm,whole-field,pot-severe,fungicide,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,brown-stem-rot
august,normal,lt-norm,norm,upper-areas,pot-severe,none,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,brown-stem-rot
september,normal,lt-norm,gt-norm,whole-field,pot-severe,fungicide,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,brown-stem-rot
july,lt-normal,lt-norm,lt-norm,upper-areas,pot-severe,fungicide,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,brown-stem-rot
august,normal,lt-norm,norm,upper-areas,pot-severe,none,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,brown-stem-rot
september,normal,lt-norm,norm,upper-areas,pot-severe,fungicide,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,brown-stem-rot
september,normal,lt-norm,norm,upper-areas,pot-severe,fungicide,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,brown-stem-rot
august,normal,lt-norm,norm,upper-areas,pot-severe,fungicide,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,brown-stem-rot
august,normal,lt-norm,norm,scattered,pot-severe,fungicide,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,brown-stem-rot
august,normal,lt-norm,norm,upper-areas,pot-severe,none,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,brown-stem-rot
august,normal,lt-norm,norm,upper-areas,pot-severe,none,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,brown-stem-rot
july,lt-normal,lt-norm,lt-norm,upper-areas,pot-severe,fungicide,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,brown-stem-rot
august,normal,lt-norm,norm,upper-areas,pot-severe,fungicide,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,brown-stem-rot
september,normal,lt-norm,norm,upper-areas,pot-severe,fungicide,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,brown-stem-rot
september,normal,lt-norm,gt-norm,upper-areas,pot-severe,none,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
september,normal,lt-norm,gt-norm,upper-areas,pot-severe,none,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
july,normal,lt-norm,gt-norm,upper-areas,pot-severe,none,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
september,normal,lt-norm,gt-norm,upper-areas,pot-severe,none,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
september,normal,lt-norm,gt-norm,upper-areas,pot-severe,none,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
september,normal,lt-norm,gt-norm,upper-areas,pot-severe,none,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
october,normal,lt-norm,gt-norm,whole-field,pot-severe,fungicide,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
october,normal,lt-norm,gt-norm,whole-field,pot-severe,fungicide,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
september,normal,lt-norm,gt-norm,upper-areas,pot-severe,none,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
october,normal,lt-norm,gt-norm,whole-field,pot-severe,fungicide,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
october,normal,lt-norm,gt-norm,whole-field,pot-severe,fungicide,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
october,normal,lt-norm,gt-norm,whole-field,pot-severe,fungicide,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
october,normal,lt-norm,gt-norm,whole-field,pot-severe,fungicide,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
october,normal,lt-norm,gt-norm,whole-field,pot-severe,fungicide,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
october,normal,lt-norm,gt-norm,whole-field,pot-severe,fungicide,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
september,normal,lt-norm,gt-norm,upper-areas,pot-severe,none,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
september,normal,lt-norm,gt-norm,upper-areas,pot-severe,none,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
september,normal,lt-norm,gt-norm,upper-areas,pot-severe,none,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
september,normal,lt-norm,gt-norm,upper-areas,pot-severe,none,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
september,normal,lt-norm,gt-norm,upper-areas,pot-severe,none,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
september,normal,lt-norm,gt-norm,upper-areas,pot-severe,none,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
october,normal,lt-norm,gt-norm,whole-field,pot-severe,fungicide,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
september,normal,lt-norm,gt-norm,upper-areas,pot-severe,none,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
september,normal,lt-norm,gt-norm,upper-areas,pot-severe,none,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
september,normal,lt-norm,gt-norm,upper-areas,pot-severe,none,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
september,normal,lt-norm,gt-norm,upper-areas,pot-severe,none,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
october,normal,lt-norm,gt-norm,whole-field,pot-severe,fungicide,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
october,normal,lt-norm,gt-norm,whole-field,pot-severe,fungicide,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
september,normal,lt-norm,gt-norm,upper-areas,pot-severe,none,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
september,normal,lt-norm,gt-norm,upper-areas,pot-severe,none,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
september,normal,lt-norm,gt-norm,upper-areas,pot-severe,none,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
september,normal,lt-norm,gt-norm,upper-areas,pot-severe,none,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
september,normal,lt-norm,gt-norm,upper-areas,pot-severe,none,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
october,normal,lt-norm,gt-norm,whole-field,pot-severe,fungicide,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,charcoal-rot
